Tool,File,Total Reads Processed,Reads Remaining,Percentage of Bases Trimmed,Adapter Content,Reads Discarded (Low Quality),Mean Quality Score (After Trimming),Runtime (s),"Resource Usage (CPU, Memory)"
fastp,ERR12638549.fastp.json,533766,527854,1.11,527854,5907,92.62,,
fastp,ERR12638551.fastp.json,10629032,10553771,0.71,10553771,74943,93.49,,
fastp,ERR12638550.fastp.json,12068620,11953436,0.95,11953436,114812,93.07,,
fastp,ERR12638552.fastp.json,13605993,13500041,0.78,13500041,105539,93.45,,
fastp,ERR12638548.fastp.json,13872564,13739450,0.96,13739450,132712,93.05,,
fastp,ERR12638553.fastp.json,14271478,14158385,0.79,14158385,112704,93.18,,
fastp,ERR12638555.fastp.json,13950459,13838666,0.8,13838666,111403,93.39,,
fastp,ERR12638556.fastp.json,15450100,15329594,0.78,15329594,120111,93.41,,
fastp,ERR12638554.fastp.json,21796954,21620371,0.81,21620371,175914,93.49,,
Trim Galore,ERR12638549.fastq_trimming_report.txt,533766,533766,198651.0,99225,135,,10.454,
Trim Galore,ERR12638551.fastq_trimming_report.txt,10629032,10629032,2625276.0,1996524,1309,,185.686,
Trim Galore,ERR12638552.fastq_trimming_report.txt,13605993,13605993,3429816.0,2540475,2014,,240.295,
Trim Galore,ERR12638550.fastq_trimming_report.txt,12068620,12068620,3756957.0,2287240,1195,,250.603,
Trim Galore,ERR12638555.fastq_trimming_report.txt,13950459,13950459,3612626.0,2657274,6068,,244.309,
Trim Galore,ERR12638553.fastq_trimming_report.txt,14271478,14271478,3712088.0,2746274,2586,,260.686,
Trim Galore,ERR12638556.fastq_trimming_report.txt,15450100,15450100,4137805.0,2865235,1361,,266.708,
Trim Galore,ERR12638548.fastq_trimming_report.txt,13872564,13872564,4321829.0,2602177,1150,,289.295,
Trim Galore,ERR12638554.fastq_trimming_report.txt,21796954,21796954,5875704.0,4042058,1626,,372.047,
